team,rank
Argentina,1
France,2
Spain,3
England,4
Brazil,5
Portugal,6
Netherlands,7
Belgium,8
Italy,9
Germany,10
Uruguay,11
Colombia,12
Croatia,13
Morocco,14
Japan,15
USA,16
Senegal,17
IR Iran,18
Mexico,19
Switzerland,20
Denmark,21
Austria,22
Korea Republic,23
Ecuador,24
Ukraine,25
Australia,26
Sweden,27
Türkiye,28
Wales,29
Hungary,30
Canada,31
Serbia,32
Egypt,33
Russia,34
Poland,35
Panama,36
Algeria,37
Romania,38
Greece,39
Peru,40
Slovakia,41
Czechia,42
Norway,43
Nigeria,44
Scotland,45
Côte d'Ivoire,46
Venezuela,47
Qatar,48
Cameroon,49
Chile,50
Mali,51
Tunisia,52
Paraguay,53
Costa Rica,54
Slovenia,55
Iraq,56
South Africa,57
Uzbekistan,58
Saudi Arabia,59
Republic of Ireland,60
Congo DR,61
Jamaica,62
United Arab Emirates,63
Jordan,64
Albania,65
Burkina Faso,66
North Macedonia,67
Georgia,68
Finland,69
Iceland,70
Northern Ireland,71
Cabo Verde,72
Montenegro,73
Bosnia and Herzegovina,74
Honduras,75
Israel,76
Ghana,77
Guinea,78
Bolivia,79
Oman,80
Bahrain,81
Bulgaria,82
El Salvador,83
Gabon,84
Angola,85
Haiti,86
Zambia,87
Uganda,88
Aotearoa New Zealand,89
China PR,90
Curaçao,91
Luxembourg,92
Equatorial Guinea,93
Benin,94
Syria,95
Mozambique,96
Thailand,97
Belarus,98
Kosovo,99
Armenia,100
Palestine,101
Trinidad and Tobago,102
Comoros,103
Tajikistan,104
Guatemala,105
Tanzania,106
Kyrgyz Republic,107
Kenya,108
Mauritania,109
Kazakhstan,110
Namibia,111
Lebanon,112
Sudan,113
Korea DPR,114
Madagascar,115
Vietnam,116
Azerbaijan,117
Libya,118
Togo,119
Guinea-Bissau,120
Zimbabwe,121
Niger,122
Estonia,123
Rwanda,124
Indonesia,125
The Gambia,126
India,127
Congo,128
Sierra Leone,129
Cyprus,130
Malawi,131
Malaysia,132
Nicaragua,133
Kuwait,134
Central African Republic,135
Botswana,136
Faroe Islands,137
Suriname,138
Burundi,139
Latvia,140
Dominican Republic,141
Lithuania,142
Turkmenistan,143
St Kitts and Nevis,144
Liberia,145
Ethiopia,146
Fiji,147
Solomon Islands,148
Philippines,149
Lesotho,150
Moldova,151
New Caledonia,152
Tahiti,153
Guyana,154
Afghanistan,155
"Hong Kong, China",156
Puerto Rico,157
Yemen,158
Eswatini,159
Antigua and Barbuda,160
Singapore,161
Maldives,162
Vanuatu,163
Cuba,164
Chinese Taipei,165
Bermuda,166
Myanmar,167
St Lucia,168
Malta,169
South Sudan,170
Andorra,171
Papua New Guinea,172
St Vincent and the Grenadines,173
Grenada,174
Nepal,175
Chad,176
Barbados,177
Belize,178
Mauritius,179
Cambodia,180
Montserrat,181
Bhutan,182
Dominica,183
Brunei Darussalam,184
Bangladesh,185
Laos,186
Mongolia,187
American Samoa,188
São Tomé and Príncipe,189
Cook Islands,190
Djibouti,191
Samoa,192
Macau,193
Cayman Islands,194
Aruba,195
Timor-Leste,196
Gibraltar,197
Pakistan,198
Tonga,199
Sri Lanka,200
Seychelles,201
Somalia,202
Guam,203
Liechtenstein,204
Bahamas,205
Turks and Caicos Islands,206
British Virgin Islands,207
US Virgin Islands,208
Anguilla,209
San Marino,210
